n	int	float
946000	31564	184833
947000	31870	186382
948000	31647	171209
949000	35904	171504
950000	31671	188547
951000	31890	166505
952000	32725	163540
953000	31949	165952
954000	31983	165875
955000	32032	171749
956000	33648	177797
957000	36592	170249
958000	32096	171701
959000	32087	160225
960000	32123	152885
961000	32222	175887
962000	32114	174853
963000	32031	174986
964000	32035	169473
965000	32191	181247
966000	32131	181291
967000	32176	165609
968000	32207	158180
969000	32213	167591
970000	32690	168764
971000	32666	180522
972000	32721	174881
973000	32660	170017
974000	32712	175742
975000	32717	168959
976000	32762	164714
977000	32890	175245
978000	32801	170157
979000	32865	170200
980000	32963	164997
981000	32753	165377
982000	32740	192261
983000	32743	200453
984000	32834	161364
985000	32782	172874
986000	33456	171628
987000	37767	188519
988000	32985	167171
989000	33125	178607
990000	33523	175843
991000	33450	187985
992000	33577	156267
993000	33587	178682
994000	33627	173034
995000	33712	185127
996000	33691	167574
997000	33745	173064
998000	33825	178984
999000	33755	184453
1000000	33836	157245
